received_at,monotonic_s,robot,role,fleet_id,kind,x,y,z,yaw,pose_age,pose_fresh
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:09:16.160+00:00,67171.869591218,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:09:16.160+00:00,67171.869591218,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.0004989139997633174,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,limo_b,limo_b,LIMO2,limo,-4.0,-2.0,0.0,0.0,0.0004789560043718666,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.0004603730048984289,yes
2026-09-13T03:09:16.160+00:00,67171.869591218,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.00044253999658394605,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.0006135799922049046,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,cf231,cf231,CF02,drone,-1.0,1.5,0.4,0.0,0.0005451640026876703,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,cf232,cf232,CF03,drone,-0.05782835973203371,0.0,0.8,0.0,0.0005084979929961264,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,cf233,cf233,CF04,drone,0.8246526234878326,-1.5,1.2,0.0,0.0004460810014279559,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:09:21.164+00:00,67176.87343124,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.00031341500289272517,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,limo_b,limo_b,LIMO2,limo,-3.963502048374721,-1.9574190564371747,0.0,0.0,0.000295706995530054,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,limo_c,,LIMO3,limo,0,0,0.0,0.0,0.0002789569989545271,yes
2026-09-13T03:09:21.164+00:00,67176.87343124,limo_d,,LIMO4,limo,0,0,0.0,0.0,0.00026337399322073907,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,cf230,cf230,CF01,drone,-1.0,0.0,0.0,0.0,0.0006680799997411668,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,cf231,cf231,CF02,drone,-1.0,1.5,0.4,0.0,0.0006083719927119091,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,cf232,cf232,CF03,drone,-1.5,0.0,0.0,0.0,0.000570621996303089,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,cf233,cf233,CF04,drone,-1.5,-1.5,0.0,0.0,0.0005323299992596731,yes
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF05,,CF05,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF06,,CF06,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF07,,CF07,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF08,,CF08,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF09,,CF09,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,spare_CF10,,CF10,drone,,,,,,no
2026-09-13T03:09:29.161+00:00,67184.870426134,limo_a,limo_a,LIMO1,limo,-4.0,2.0,0.0,0.0,0.00037804000021424145,yes
